stockId,date,open,high,low,close,volume
sh000001,20180504,3087.4086914062,3105.6599121094,3056.1572265625,3091.0334472656,39288145100
sh000001,20180427,3063.4426269531,3136.0395507812,3045.9370117188,3082.2316894531,68647057800
sh000001,20180420,3152.8881835938,3153.1062011719,3041.625,3071.5424804688,77613294000
sh000001,20180413,3125.44140625,3220.8452148438,3110.3024902344,3159.0520019531,75946080000
sh000001,20180404,3169.7788085938,3192.3403320312,3119.1320800781,3131.111328125,47692113300
sh000001,20180330,3117.3190917969,3177.720703125,3091.4575195312,3168.896484375,86389920100
sh000001,20180323,3264.9279785156,3314.208984375,3110.6638183594,3152.7607421875,87219932800
sh000001,20180316,3319.208984375,3333.8754882812,3269.2827148438,3269.8820800781,83091512700
sh000001,20180309,3255.8713378906,3309.7153320312,3236.7172851562,3307.1655273438,82711108100
sh000001,20180302,3307.294921875,3335.9855957031,3228.5847167969,3254.5283203125,82379088900
sh000001,20180223,3237.5690917969,3294.1337890625,3234.115234375,3289.0241699219,28452081300
sh000001,20180214,3128.3708496094,3219.216796875,3113.60546875,3199.1589355469,40516125500
sh000001,20180209,3411.669921875,3487.7211914062,3062.7426757812,3129.8508300781,121682062000
sh000001,20180202,3563.6398925781,3587.0322265625,3388.8596191406,3462.0808105469,109827560100
sh000001,20180126,3476.9938964844,3574.9047851562,3475.6730957031,3558.12890625,117525965100
sh000001,20180119,3428.9506835938,3498.4340820312,3401.9606933594,3487.8640136719,117210606900
sh000001,20180112,3391.552734375,3435.423828125,3384.5590820312,3428.9406738281,98462419100
sh000001,20180105,3314.0307617188,3402.0693359375,3314.0307617188,3391.75,83613097800
sh000001,20171229,3296.2106933594,3312.2998046875,3263.7282714844,3307.1721191406,76896153200
sh000001,20171222,3268.0334472656,3309.2233886719,3254.1774902344,3297.0629882812,63976089400
sh000001,20171215,3290.4880371094,3322.6735839844,3259.3881835938,3266.1372070312,62005431100
sh000001,20171208,3310.3813476562,3323.99609375,3254.6108398438,3289.9924316406,77325181600
sh000001,20171201,3346.6567382812,3347.0505371094,3300.7807617188,3317.6174316406,78428705200
sh000001,20171124,3361.3562011719,3442.177734375,3328.333984375,3353.8208007812,96179863500
sh000001,20171117,3435.1838378906,3450.4948730469,3373.2956542969,3382.9074707031,97679628900
sh000001,20171110,3369.6850585938,3438.7924804688,3356.5336914062,3432.6730957031,87857161300
sh000001,20171103,3413.8679199219,3419.7314453125,3347.3603515625,3371.744140625,88199267600
sh000001,20171027,3382.2800292969,3421.1025390625,3374.1245117188,3416.8125,74790082000
sh000001,20171020,3393.2055664062,3400.5112304688,3359.6284179688,3378.6481933594,74259048200
sh000001,20171013,3403.2458496094,3410.1704101562,3358.7954101562,3390.5231933594,85440074600
sh000001,20170929,3344.5886230469,3357.0153808594,3332.5983886719,3348.9431152344,73964357600
sh000001,20170922,3352.5134277344,3377.8845214844,3334.9846191406,3352.529296875,88200004600
